爱来自中国山东日照 | รักจากริเจา มณฑลซานตง ประเทศจีน
存入 | ฝากเงิน
存钱明细 | รายละเอียดการฝากเงิน
存钱猪猪 | กระปุกออมสิน
第一个存钱罐 | กระปุกออมสินใบแรก
感谢您的鼓励 | ขอบคุณสำหรับกำลังใจของคุณ
欢迎使用 | ยินดีต้อนรับ
距离目标还差 | เหลืออีก
开发者网站：fangjunyu.com | เว็บไซต์นักพัฒนา: fangjunyu.com
开启存钱猪猪 | เริ่มกระปุกออมสิน
目标金额 | จำนวนเป้าหมาย
您的支持是我最大的动力 | การสนับสนุนของคุณคือแรงจูงใจที่ใหญ่ที่สุดของฉัน
您已支持过该应用 | คุณได้สนับสนุนแอปพลิเคชันนี้แล้ว
请输入存钱罐名称 | กรุณากรอกชื่อกระปุกออมสิน
请输入存钱金额 | กรุณากรอกจำนวนเงินฝาก
请输入取钱金额 ｜ กรุณาใส่จำนวนเงินที่จะถอน
取出 | ถอนเงิน
取出 | ถอนเงิน
删除当前存钱罐 | ลบกระปุกออมสินปัจจุบัน
设置 | การตั้งค่า
提前设定储蓄目标并逐渐积累财富 | ตั้งเป้าหมายการออมล่วงหน้าและสะสมความมั่งคั่งอย่างค่อยเป็นค่อยไป
完成 | เสร็จสิ้น
我的存钱罐 | กระปุกออมสินของฉัน
已经存入 | ได้ฝากแล้ว
元 | ฿
支持一下免费开发（$1 USD） | สนับสนุนการพัฒนาแอปฟรี ($1 USD)
祝您身体健康，万事如意 | ขอให้คุณมีสุขภาพแข็งแรงและสมหวังทุกประการ
最终完成储蓄计划 | ทำแผนการออมให้เสร็จสมบูรณ์ในที่สุด
